Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1303-32906,2014-03-01T00:00:00Z,52,0.5,KDE50,0.04802723671975604
Bass,A69-1303-32906,2014-03-01T00:00:00Z,52,0.95,KDE95,0.17843845009306716
Bass,A69-1303-32906,2014-04-01T00:00:00Z,188,0.5,KDE50,0.05509976425656862
Bass,A69-1303-32906,2014-04-01T00:00:00Z,188,0.95,KDE95,0.1302685275385319
Bass,A69-1303-32906,2014-05-01T00:00:00Z,114,0.5,KDE50,0.03186529013794486
Bass,A69-1303-32906,2014-05-01T00:00:00Z,114,0.95,KDE95,0.08949486597210649
Bass,A69-1303-32907,2014-03-01T00:00:00Z,34,0.5,KDE50,0.03822817010585987
Bass,A69-1303-32907,2014-03-01T00:00:00Z,34,0.95,KDE95,0.12949611108921122
Bass,A69-1303-32907,2014-04-01T00:00:00Z,195,0.5,KDE50,0.02675086382726289
Bass,A69-1303-32907,2014-04-01T00:00:00Z,195,0.95,KDE95,0.08633421756064341
Bass,A69-1303-32909,2014-03-01T00:00:00Z,113,0.5,KDE50,0.02421133104065852
Bass,A69-1303-32909,2014-03-01T00:00:00Z,113,0.95,KDE95,0.14200486639737175
Bass,A69-1303-32910,2014-02-01T00:00:00Z,52,0.5,KDE50,0.016846914215520956
Bass,A69-1303-32910,2014-02-01T00:00:00Z,52,0.95,KDE95,0.2021338552941747
Bass,A69-1303-32910,2014-04-01T00:00:00Z,82,0.5,KDE50,0.01096669894684937
Bass,A69-1303-32910,2014-04-01T00:00:00Z,82,0.95,KDE95,0.04058892262869212
Bass,A69-1303-32912,2013-04-01T00:00:00Z,61,0.5,KDE50,0.019197731213159628
Bass,A69-1303-32912,2013-04-01T00:00:00Z,61,0.95,KDE95,0.07489815173596341
Bass,A69-1303-32912,2013-05-01T00:00:00Z,35,0.5,KDE50,0.04781515395711101
Bass,A69-1303-32912,2013-05-01T00:00:00Z,35,0.95,KDE95,0.15006348906456954
Bass,A69-1303-32917,2013-04-01T00:00:00Z,162,0.5,KDE50,0.018592069849643858
Bass,A69-1303-32917,2013-04-01T00:00:00Z,162,0.95,KDE95,0.049469137891486284
Bass,A69-1303-32925,2013-04-01T00:00:00Z,151,0.5,KDE50,0.02536917060464609
Bass,A69-1303-32925,2013-04-01T00:00:00Z,151,0.95,KDE95,0.08165466518966272
Bass,A69-1303-32925,2014-04-01T00:00:00Z,32,0.5,KDE50,0.02390010269535215
Bass,A69-1303-32925,2014-04-01T00:00:00Z,32,0.95,KDE95,0.1238535965597981
Bass,A69-1303-32925,2014-05-01T00:00:00Z,44,0.5,KDE50,0.04057940322522254
Bass,A69-1303-32925,2014-05-01T00:00:00Z,44,0.95,KDE95,0.11013491668046009
Bass,A69-1303-32925,2015-02-01T00:00:00Z,31,0.5,KDE50,0.047556998015563005
Bass,A69-1303-32925,2015-02-01T00:00:00Z,31,0.95,KDE95,0.1283444281757579
Bass,A69-1303-51312,2014-03-01T00:00:00Z,30,0.5,KDE50,0.03616832724540296
Bass,A69-1303-51312,2014-03-01T00:00:00Z,30,0.95,KDE95,0.13268776924858344
Bass,A69-1303-51312,2015-02-01T00:00:00Z,37,0.5,KDE50,0.058032712650357365
Bass,A69-1303-51312,2015-02-01T00:00:00Z,37,0.95,KDE95,0.12435455517362061
Bass,A69-1303-51312,2015-03-01T00:00:00Z,76,0.5,KDE50,0.03950268499091829
Bass,A69-1303-51312,2015-03-01T00:00:00Z,76,0.95,KDE95,0.09107108637899018
Bass,A69-1303-51314,2013-04-01T00:00:00Z,92,0.5,KDE50,0.05791969771110616
