Species,Month,method,n_pairs,median_jaccard,mean_jaccard
Bass,2013-04-01,KDE50,6,0.3262258139817527,0.3411425955745909
Bass,2013-05-01,KDE50,1,0.1812865093937829,0.1812865093937829
Bass,2014-03-01,KDE50,6,0.4210627014755911,0.4184788392788224
Bass,2014-04-01,KDE50,6,0,0.08091644972892877
Bass,2014-05-01,KDE50,3,0,0.20690012405277244
Bass,2015-02-01,KDE50,1,0.2626144692905954,0.2626144692905954
Bass,2015-03-01,KDE50,36,0.26388545179106543,0.32605549774123044
Bass,2015-04-01,KDE50,10,0.36143198891597555,0.40966012987562406
Bass,2015-05-01,KDE50,15,0.25067413495128377,0.25112126936773876
Bass,2015-06-01,KDE50,3,0,0
Bass,2016-11-01,KDE50,1,0,0
Bass,2016-12-01,KDE50,6,0,0.12731102988924886
Bass,2017-01-01,KDE50,15,0.11632872847843903,0.22982747250972646
Bass,2017-02-01,KDE50,10,0,0.14870875841273806
Bass,2017-03-01,KDE50,21,0,0.15679246451150858
Bass,2017-04-01,KDE50,55,0,0.1592953843536929
Bass,2017-05-01,KDE50,45,0,0.23996229585230988
Bass,2017-06-01,KDE50,6,0,0.03885252180201726
Bass,2017-07-01,KDE50,3,0,0.20583261651771367
Bass,2017-10-01,KDE50,3,0,0.3049827651408278
Bass,2017-12-01,KDE50,10,0,0.1531951496024148
Bass,2018-01-01,KDE50,10,0,0.24189443754544415
Bass,2018-02-01,KDE50,28,0,0.12296087017369768
Bass,2018-03-01,KDE50,91,0,0.09540376152180505
Bass,2018-04-01,KDE50,136,0,0.14007065690629755
Bass,2018-05-01,KDE50,231,0.0022468462222593262,0.24925462477170648
Bass,2018-06-01,KDE50,36,0.17337433840410543,0.28001223670951336
Bass,2018-07-01,KDE50,1,0,0
Bass,2018-08-01,KDE50,3,0.3398286665735334,0.2907487484910265
Bass,2018-09-01,KDE50,3,0.20412920631075296,0.1589216526022312
Bass,2018-10-01,KDE50,6,0,0.2672668883742684
Bass,2018-11-01,KDE50,3,0.4455435496096432,0.5744976944808616
Bass,2018-12-01,KDE50,21,0,0.09794563461520024
Bass,2019-01-01,KDE50,105,0,0.16296844672828037
Bass,2019-02-01,KDE50,105,0.22141628470760374,0.2794265807635975
Bass,2019-03-01,KDE50,120,0.031129077246109985,0.17676588461451348
Bass,2019-04-01,KDE50,105,0.0010147565148414112,0.2244619974685866
Bass,2019-05-01,KDE50,153,0.053120549883518886,0.27390753250005356
Bass,2019-06-01,KDE50,10,0.04769780770023002,0.1238700788904256
Bass,2019-07-01,KDE50,3,0,0
Bass,2019-08-01,KDE50,3,0,0.05538590936113121
Bass,2019-10-01,KDE50,3,0,0
Bass,2019-11-01,KDE50,1,0,0
Bass,2019-12-01,KDE50,3,0.15038532836911375,0.19713556042891897
Bass,2020-01-01,KDE50,21,0,0.0959515445840736
Bass,2020-02-01,KDE50,36,0.23658827782014694,0.25870499169718975
Bass,2020-03-01,KDE50,91,0,0.23250872024327623
Bass,2020-04-01,KDE50,36,0.19591338597987826,0.25540574918846853
Bass,2020-05-01,KDE50,91,0.016416548559027782,0.19809777674485576
Bass,2020-06-01,KDE50,6,0,0.1329879972210584
Bass,2020-07-01,KDE50,1,0.01861247300868714,0.01861247300868714
Bass,2020-08-01,KDE50,1,0,0
Bass,2021-02-01,KDE50,1,0,0
Bass,2021-03-01,KDE50,36,0,0.12279422596946259
Bass,2021-04-01,KDE50,45,0,0.1417784912708371
Bass,2021-05-01,KDE50,78,0.36483904041199844,0.3613062448837422
Bass,2021-06-01,KDE50,91,0.331547873188163,0.3166621755616055
Bass,2021-07-01,KDE50,36,0,0.1761134344347033
Bass,2021-08-01,KDE50,10,0,0.08627117519525525
Bass,2021-09-01,KDE50,3,0,0.022950878822046526
Bass,2021-10-01,KDE50,3,0,0.15574098832270497
Bass,2021-11-01,KDE50,10,0,0.06847256222639897
Bass,2021-12-01,KDE50,28,0,0.10945337475428053
Bass,2022-01-01,KDE50,21,0,0.11893761185121457
Bass,2022-02-01,KDE50,78,0,0.08227411457012969
Bass,2022-03-01,KDE50,91,0,0.16955628366766468
Bass,2022-04-01,KDE50,105,0,0.14465177592200368
Bass,2022-05-01,KDE50,66,0,0.16557298584429994
Bass,2022-06-01,KDE50,28,0,0.10937398447763666
Bass,2022-07-01,KDE50,28,0,0.09788962287327403
Bass,2022-08-01,KDE50,15,0,0.04896755562501615
Bass,2022-09-01,KDE50,36,0,0.053894253993022036
Bass,2022-10-01,KDE50,15,0,0.030074948488848785
Bass,2022-11-01,KDE50,21,0,0.022299552203186263
Bass,2022-12-01,KDE50,55,0,0.14448545535634982
Bass,2023-01-01,KDE50,45,0,0.2582884936881314
Bass,2023-02-01,KDE50,36,0.05653757397504518,0.2011291561174091
Bass,2023-03-01,KDE50,153,0.2860083648601126,0.30695660612285625
Bass,2023-04-01,KDE50,153,0.04376454756034994,0.27176540590119846
Bass,2023-05-01,KDE50,21,0,0.17958369643845745
Bass,2023-06-01,KDE50,45,0.1329559355297584,0.29353372086743745
Bass,2023-07-01,KDE50,21,0,0.12696944483899708
Bass,2023-08-01,KDE50,21,0,0.10442489058957927
Bass,2023-09-01,KDE50,3,0,0
Bass,2023-10-01,KDE50,6,0,0.0479287938021436
Bass,2023-11-01,KDE50,10,0,0.12428542570766092
Bass,2023-12-01,KDE50,6,0,0.15289755176639205
Bass,2024-01-01,KDE50,10,0,0.19041604209251284
Bass,2024-02-01,KDE50,10,0,0.04607086394471165
Bass,2024-03-01,KDE50,28,0,0.1456689832807632
Bass,2024-04-01,KDE50,15,0,0.14132844372558573
Bass,2024-05-01,KDE50,15,0,0.05910698693808356
Bass,2024-06-01,KDE50,6,0,0.007352676226997185
Bass,2024-07-01,KDE50,3,0,0.029379092248255564
Bass,2024-08-01,KDE50,6,0,0.005468667565859161
Bass,2024-09-01,KDE50,6,0,0.0549950515442053
Bass,2024-10-01,KDE50,10,0,0.09477918998620607
Bass,2024-11-01,KDE50,1,0,0
Bass,2024-12-01,KDE50,36,0.10999773511788567,0.24762962044852546
