Species,Month,method,n_pairs,median_jaccard,mean_jaccard
Snook,2012-02-01,KDE50,3,0,0
Snook,2012-03-01,KDE50,91,0,0.08341886413293093
Snook,2012-04-01,KDE50,45,0.39892396146939063,0.3236570036739002
Snook,2012-05-01,KDE50,15,0,0.18155036534427446
Snook,2012-06-01,KDE50,45,0.20027749945740422,0.28774781700955715
Snook,2012-07-01,KDE50,21,0,0.14643371672389993
Snook,2012-08-01,KDE50,28,0,0.09295821319256337
Snook,2012-09-01,KDE50,6,0,0.014246195969297519
Snook,2012-10-01,KDE50,15,0.043408858806522815,0.12759410413117425
Snook,2012-11-01,KDE50,28,0,0.09764435464260268
Snook,2012-12-01,KDE50,45,0,0.11985404922759182
Snook,2013-01-01,KDE50,15,0,0.17395787097715681
Snook,2013-02-01,KDE50,36,0,0.19406298144115308
Snook,2013-03-01,KDE50,78,0.35554000496403115,0.3508157953361763
Snook,2013-04-01,KDE50,171,0.3725048797573016,0.3440435512768376
Snook,2013-05-01,KDE50,105,0.3131347518932096,0.314371337526166
Snook,2013-06-01,KDE50,120,0,0.11006132880652944
Snook,2013-07-01,KDE50,91,0,0.10853147348284614
Snook,2013-08-01,KDE50,36,0,0.13399716676497594
Snook,2013-09-01,KDE50,45,0,0.13125021084066765
Snook,2013-10-01,KDE50,45,0,0.07052065547438846
Snook,2013-11-01,KDE50,91,0,0.06945291973936463
Snook,2013-12-01,KDE50,66,0,0.10038707769392352
Snook,2014-01-01,KDE50,171,0,0.11788885841218025
Snook,2014-02-01,KDE50,120,0.12617359331573091,0.2243271962244231
Snook,2014-03-01,KDE50,210,0.2846579787211947,0.283105892079223
Snook,2014-04-01,KDE50,153,0.35100422206873894,0.34909007854534774
Snook,2014-05-01,KDE50,231,0.1688326713008037,0.27278060251995156
Snook,2014-06-01,KDE50,231,0.1897034310782522,0.24038812613853056
Snook,2014-07-01,KDE50,171,0,0.0900567460997992
Snook,2014-08-01,KDE50,55,0,0.08056441899098507
Snook,2014-09-01,KDE50,66,0,0.08218464215515273
Snook,2014-10-01,KDE50,66,0,0.05784595964242197
Snook,2014-11-01,KDE50,66,0,0.035714636409504195
Snook,2014-12-01,KDE50,105,0,0.1362369813412451
Snook,2015-01-01,KDE50,45,0,0.19432484689864465
Snook,2015-02-01,KDE50,190,0.2684226497630938,0.2754546282769192
Snook,2015-03-01,KDE50,253,0.30245475513499276,0.3026033445075138
Snook,2015-04-01,KDE50,351,0.14388986709613966,0.22977930840206676
Snook,2015-05-01,KDE50,120,0.12275955199550016,0.2177763345468762
Snook,2015-06-01,KDE50,66,0.13347140995541912,0.19634644472383112
Snook,2015-07-01,KDE50,45,0.17136618013884514,0.21159680941964057
Snook,2015-08-01,KDE50,6,0,0.06034979382513317
Snook,2015-09-01,KDE50,15,0,0.054126145490968655
Snook,2015-10-01,KDE50,15,0,0.0719989841990061
Snook,2015-11-01,KDE50,6,0,0
Snook,2015-12-01,KDE50,6,0,0.0648490281527219
Snook,2016-01-01,KDE50,6,0,0.0805782692343173
Snook,2016-02-01,KDE50,15,0,0.09040673633164797
Snook,2016-03-01,KDE50,10,0,0.09667425394970955
Snook,2016-04-01,KDE50,6,0,0.0730848102970021
Snook,2016-05-01,KDE50,45,0,0.04961617528856818
Snook,2016-06-01,KDE50,66,0,0.09129952567143934
Snook,2016-07-01,KDE50,21,0,0.15347267581281376
Snook,2016-08-01,KDE50,28,0,0.11102074080806039
Snook,2016-09-01,KDE50,21,0,0.21660057627320994
Snook,2016-10-01,KDE50,21,0,0.06546195048273869
Snook,2016-11-01,KDE50,10,0,0.027146500934815066
Snook,2016-12-01,KDE50,21,0,0.07680454224939531
Snook,2017-01-01,KDE50,120,0,0.06946199480369608
Snook,2017-02-01,KDE50,66,0.40716804961767916,0.33356475046838263
Snook,2017-03-01,KDE50,78,0,0.25284624009716006
Snook,2017-04-01,KDE50,36,0.22368638991776285,0.28047465197567056
Snook,2017-05-01,KDE50,120,0.19188461539615392,0.23984732588599889
Snook,2017-06-01,KDE50,105,0.18293674701796964,0.234086759311063
Snook,2017-07-01,KDE50,45,0,0.16337132873901034
Snook,2017-08-01,KDE50,6,0.1523431886010515,0.242018496873667
Snook,2017-09-01,KDE50,66,0.18885635539616286,0.20636346203672698
Snook,2017-10-01,KDE50,15,0,0.03323816351201258
Snook,2017-11-01,KDE50,10,0,0.059923629353502275
Snook,2017-12-01,KDE50,10,0.2898246123645611,0.32764793285623406
Snook,2018-01-01,KDE50,36,0.049041745453960145,0.17843017034459455
Snook,2018-02-01,KDE50,21,0.27834523085179663,0.26950449077119487
Snook,2018-03-01,KDE50,45,0.1671832573736716,0.2413606623182867
Snook,2018-04-01,KDE50,91,0.1720914767625273,0.24322089312909262
Snook,2018-05-01,KDE50,253,0.3337755246574616,0.3408534810331007
Snook,2018-06-01,KDE50,105,0,0.1273029753411271
Snook,2018-07-01,KDE50,45,0,0.07361663177428135
Snook,2018-08-01,KDE50,36,0,0.03894890265867377
Snook,2018-09-01,KDE50,66,0,0.05455377893667628
Snook,2018-10-01,KDE50,45,0,0.1278772994093195
Snook,2018-11-01,KDE50,105,0,0.10606517285174548
Snook,2018-12-01,KDE50,210,0.004960645180575813,0.13796035535038761
Snook,2019-01-01,KDE50,300,0,0.12942701624825287
Snook,2019-02-01,KDE50,253,0,0.13830524667229277
